score,content,English
5,Suka bngtt ama ipusnas😘,I really like ipusnas
5,Aplikasi yang sangat membantu untuk yang haus ilmu,A very helpful application for those who are thirsty for knowledge
5,Oke. Sekarang bagus. Tapi tolong perbanyak buku linguistik yg terbitan tua. Krna susah dicari 😂,Okay. Now good. But please multiply the old linguistic books. Because it's hard to find 😂
5,bagus bisa mencerdaskan anak bangsa,good to be able to educate the nation's children
5,"Izin kasih masukkan min.... Klo bisa di sediakan audionya. Jadi, selain bisa membaca kita juga bisa mendengarkan, cerita dr fitur audio nya. Trims","Permission to enter, min.... If you can provide the audio. So, apart from being able to read, we can also listen to stories from the audio features. thanks"
4,"Apk sih buat bagus buat wawasan, cuman baca kurang enak gak kya di Apk novel tolong dong di perbaiki lagi saya suka apk ini. Terima kasih","The apk is good for insight, it's just that reading is not good, isn't it like in the novel Apk, please fix it again, I like this apk. Thank you"
2,"Tampilan tulisan terlalu kecil, susah bacanya..","The display is too small, it's hard to read."
3,Masih banyak judul buku yg tidak ditemukan pada aplikasi ini,There are still many book titles that are not found in this application
2,"Pertamanya excited banget ada list beberapa buku yang mau di baca, tapi pas mau pinjem harus verifikasi email di tungguin ga masuk masuk email verifikasinya, di coba keluar akun pas mau di masuk lagi email belum terdaftar, tolong di benahi lagi sistemnya min","At first I was really excited that there was a list of some books that I wanted to read, but when I wanted to borrow, I had to verify my email, I waited for the verification email to not come in, I tried to leave my account when I wanted to re-enter the email not yet registered, please fix the system again, min"
1,Apa komentar pada buku sudah di non-aktifkan ya? Gagal gagal terus,Have you deactivated comments on books? Fail fail keep on
1,"Untuk Perpustakaan Nasional, Tempat mu dijadikan ladang yang bisa di ambil gambar nya dengan tombol volume dan daya, versi lawas mu yang bisa dipakai membuatnya begitu. Antrian yang tak masuk akal dan kami yang ingin membaca saja tak bisa. Pebisnis otak kelabang memulangkan dan meminjam dengan gerakan secepat setan. Kuharap Antrian adalah dimana kita bisa menunggu dengan giliran, semua mampunyai hak untuk membaca. Karena buku adalah jendela ilmu pengetahuan, bukan jendela pebisnis otak kelabang.","For the National Library, your place is made into a field that you can take pictures of with the volume and power buttons, your old version that can be used makes it that way. Unreasonable queues and even those of us who wanted to read couldn't. The centipede-brain businessman repatriated and borrowed in a devil-like motion. I hope Queue is where we can wait our turn, everyone has the right to read. Because books are windows of knowledge, not windows of businessmen with centipede brains."
3,Saya beri nilai 3 bintang krn apk lumayan bukunya lengkap dan buku yang saya cari ada di ipusna. Sedikit saran untuk menyediakan mode mobile atau mode membaca untuk pengguna karena gulir ke bawah membuat mata saya agak sakit. Terima kasih.,I give it a 3 star rating because the apk is quite complete and the book I'm looking for is on Ipusna. A little suggestion to provide mobile mode or reading mode for users because scrolling down makes my eyes a bit sore. Thank you
3,"Izin utk memberikan masukan, untuk cara peminjamannya kalau bisa jangan di batasi karena terkadang yang mau baca buku serta mencari referensi untuk tugas suka ngantri, dan untuk antriannya sendiri kadang-kadang sangat banyak dan lama. Dimohon untuk di tindak lanjuti","Permission to provide input, as to how to borrow if possible, do not limit it because sometimes those who want to read books and look for references for assignments like to queue, and the queue itself is sometimes very large and long. Please follow up"
5,"Thanks developer yang membuat aplikasi ini. Aplikasi ini membantu orang² yg mau membaca buku. Saran aku nih ya, semoga kedepannya lebih banyak buku yg ada di apk ini. Terus maaf saya mau bilang klo sistem antri buku di apk ini kurang bagus, seharusnya ketika kita pinjam buku nanti ada waktu kapan bisa nerima bukunya. Nah, ini malah pada rebutan sekali ada yg udh balikin harus buru-buru ambil. Tolong kedepannya ada waktu antrinya supaya jelas!!.Sekian terimakasih. Salam literasi","Thanks developer who made this application. This application helps people who want to read books. My advice is yes, hopefully in the future there will be more books in this apk. Then I'm sorry I want to say that the book queue system in this apk is not good, it should be when we borrow a book there will be time when we can receive the book. Well, this is actually a fight, once someone has returned it, you have to hurry and grab it. Please in the future there will be time for the queue to be clear!!. Thank you so much. Greetings literacy"
5,"Yang hobi baca kudu banget punya ini aplikasi. Bacaannya udah pasti pilihan. Udah rapi. Banyak juga karya-karya penulis terkenal. Kuncinya mesti sabar antre kalau buku yang mau dipinjam masih kosong. Kalau boleh, masa pinjamnya diperpanjang dong. Jadi seminggu atau lebih gitu biar bacanya nggak buru-buru. Kan, kadang enggak bisa langsung baca-selesai di satu waktu karena kesibukan sehari-hari.","Those who like to read really need to have this application. Reading is definitely a choice. It's neat. There are also many famous writers. The key is to be patient in line if the book you want to borrow is still empty. If possible, the loan period can be extended. So a week or so so I don't rush to read it. Right, sometimes you can't read it right away and finish it at one time because of your daily busy life."
5,"Tampilan aplikasi nya berkesan. Perlu ditambahkan tombol bookmark atau sejenisnya pada daftar judul buku yang tampil (bukan dalam buku yang sudah dipinjam) yang berfungsi sebagai tag koleksi pribadi, agar ketika ada waktu membaca dapat dipinjam atau dapat juga dipakai sebagai referensi rekomendasi bacaan selanjutnya.","The appearance of the application is impressive. It is necessary to add a bookmark button or the like to the list of book titles that appear (not in books that have been borrowed) that function as a personal collection tag, so that when there is time to read it can be borrowed or it can also be used as a reference for further reading recommendations."
3,"saya pernah uninstall ni app, pas instal lagi ga bisa log in. Katanya suruh nonaktifkan akun, mohon penjelasannya supaya bisa log in kembali?","I've uninstalled this app, when I installed it again I couldn't log in. He said to deactivate the account, please explain so I can log back in?"
5,"Aplikasi yg sangat bagus buat kita yg suka baca. kedepannya mohon dikasih pengaturan pencahayaan atau model hurufnya,agar gak capek dimata","A very good application for those of us who like to read. In the future, please provide lighting settings or font models, so that they don't get tired in the eyes"
1,Butuh baca lewat apps ini untuk tugas tp ga membantu sama sekali,Need to read through these apps for an assignment but it doesn't help at all
5,Membaca novel original bukan bajakan,Read original novels not pirated
5,Not bad,not bad
4,Min tambahin fitur cari kata di buku dong biar makin mudah cari materi.,"Min, add a word search feature in the book to make it easier to find material."
5,"Tampilannya diupgrade dong, biar lebih fresh. Stok buku juga dibanyakin","The appearance has been upgraded, so that it is more fresh. Book stock is also increased"
1,"Knp ini sih, kemaren2 baik2 aja sekarang kok ngelag2 gitu, padahal kuota ada. Padahal ini bagus banget tapi kalo gini terus gimn mau bacanya, mohon di perbaiki lagi","Why is this, yesterday it was fine now how come it lags, even though there is a quota. Even though this is really good, but if this continues, how do you want to read it, please fix it again"
5,"Keren, tanya admin langsung dijawab tapi masih belum diperbaiki bug app di pc Yang penting respon dulu daripada di cuekin bener nggak?","Cool, the admin's question was immediately answered but the app bug on the PC still hasn't been fixed. The important thing is to respond first instead of being ignored, is that right?"
5,yy,y Y
3,"Halo, aplikasi ini sangat membantu dan sudah lumayan. Namun, terkadang untuk antrian buku yang diminati bisa ribuan jumlahnya dan habis padahal baru 1 menit tersedia di notifnya. Apakah mungkin bisa dibatasi berapa kali pinjamnya? Maksimal 2x pinjam dan harus dikembalikan dan dipinjam orang lain dulu sebelum bisa dipinjam lagi misalnya? Kemudian, untuk notifikasi bisa muncul tanpa harus membuka app dulu? Request perbanyak jenis buku, majalah, dan koran juga dong. Trims sebelumnya.","Hello, this application is very helpful and has been tolerable. However, sometimes the queue for books that are in demand can be in thousands and run out even though it has only been available for 1 minute in the notification. Is it possible to limit the number of times it can be borrowed? A maximum of 2x borrowing and must be returned and borrowed by someone else before it can be borrowed again, for example? Then, for notifications to appear without having to open the app first? Request more types of books, magazines, and newspapers too. thnks before."
3,"Assalamualaikum izin bertanya,saya kok gk bisa ya login ke ipusnas menggunakan email dan FB, padahal sebelumnya sudah login tapi tiba-tiba harus login lagi?🙏","Assalamualaikum, permission to ask, how come I can't login to Ipusnas using email and FB, even though I've logged in before but suddenly have to log in again?🙏"
5,Perpustakaan online. Aplikasi yang sangat bermanfaat,Online library. Very useful app
1,"Cara untuk baca ebooknya harus di pinjam dulu. Pas akan meminjam, tidak bisa. Ribet Tapi terimakasih sudah berusaha membuat aplikasi ebooknya","The way to read the ebook must be borrowed first. When you want to borrow, you can't. Complicated But thank you for trying to make the ebook application"
1,"Udh login Disuruh verif email eh tp gaada tuh email yg dikirim ataupun masuk, mau minjem buku aja ribet","Already logged in I was asked to verify email, but no email was sent or received, I just want to borrow a book, it's complicated"
3,"Kenapa setelah saya meminjam buku terus saya mau baca buku tersebut pas keluar sendiri? Makasih loh min udah membalas nya tapi Alhamdulillah sekarang udah bisa kok, tadi saya uninstall trus saya install lagi jadi udah bisa. Saya mau komplain, kok ada halaman yang hilang (tidak ada) pada salah satu buku yang saya pinjam. Judul bukunya ilmu sosial dan budaya dasar karya Elly M. Setiadi, dari halaman 112-150 tidak ada","Why after I borrow a book I want to read the book when I go out by myself? Thank you, Min, for replying, but Alhamdulillah, now I can do it, I uninstalled it and then I installed it again, so I can. I want to complain, how come there are missing (non-existent) pages in one of the books I borrowed. The title of the book is social science and basic culture by Elly M. Setiadi, from pages 112-150 not available"
1,Susah login dari bulan September kenapa ini🥺🥺🥺,It's hard to log in from September why is this🥺🥺🥺
5,"Baru download tapi, bagus bangett. Suka soalnya bisa mengurangi pembelian buku bajakan. Orang ada yang gratis kenapa beli buku bajakan. Kerennnnnnn","Just downloaded but, it's really good. I like it because it can reduce the purchase of pirated books. There are people who are free, why buy pirated books. Kerennnnn"
5,"Syeneng sekali sama aplikasinya,. Buku buku yang saya mau baca rata rata ada semua, Ipusnas nanti tolong tambahin the drowning girls juga yaa biar bisa pinjem 😆😆 all the best for Ipusnas..!","Very happy with the application. Most of the books I want to read are all available, Ipusnas later please add the drowning girls too so I can borrow them all the best for Ipusnas..!"
5,"Alhamdulillah nemu aplikasi ini, semangat baca jadi on lagi 😍","Thank God I found this application, the spirit of reading is on again 😍"
1,"Orang cuma mau baca kok minta akses foto, media dan file diperangkat? Bahaya !!!","Why do people just want to read asking for access to photos, media and files on their device? Danger !!!"
3,Kurang lengkap 🙏🏼,Incomplete 🙏🏼
5,"Sangat puas dengan adanya bacaan online, mempermudah kita dalam membaca.","Very satisfied with the online reading, making it easier for us to read."
2,Bisa ngak untuk sistem nya di ganti dari pinjam dan antri berubah menjadi pinjam ajah soal nya lama banget untuk ngatri 1 buku aja,"Can you change the system from borrowing and queuing to borrowing, the problem is that it takes too long to just queue for 1 book"
5,Budayakan membaca,Cultivate reading
5,I like,I like
4,"Halo min! Mau nanya, saya mau pinjam buku kok katanya harus daftar email dlu? Saya sudah coba berulang ko ga bisa?","hello min! I want to ask, I want to borrow a book, why does it say I have to register for an email first? I've tried over and over again, how come it doesn't work?"
5,Sangat bermanfaat sekali. Ilmu pengetahuan adalah jendela dunia. Terimakasih yg tak terhingga ❤️❤️❤️,Very useful. Science is the window to the world. Thank you so much ❤️❤️❤️
2,tambahkan fitur untuk memasukkan nomor halaman yang dituju dan fitur untuk scroll cepat karena saya merasa terganggu harus scroll manual sampai tengah buku apalagi jika bukunya punya 300-1000 halaman bisa patah jari. Tambahkan daftar buku favorit juga. Mohon pendapat saya direalisasikan secepatnya di update selanjutnya,"add a feature to enter the number of the intended page and a feature for fast scrolling because I feel annoyed having to scroll manually until the middle of the book, especially if the book has 300-1000 pages it can break my finger. Add a list of favorite books too. Please my opinion be realized as soon as possible in the next update"
5,"Mohon maaf min, kenapa saya tidak bisa verifikasi akun saya. Mohon bantuannya","Sorry, bro, why can't I verify my account. Please help"
2,kenapa saya nggak bisa pinjam buku? Hanya diminta verifikasi di email tapi nggak ada kotak masuk emailnya,Why can't I borrow a book? Only asked for verification in the email but there is no email inbox
2,"kasih bintang 2 dulu. Disuruh verifikasi email tapi notif verifikasi nya ngga ada padahal email nya udah bener, aku udah liat kotak masuk dan kotak spam tidak ada juga 😤😤","give 2 stars first. I was told to verify the email but the verification notification doesn't exist even though the email is correct, I've looked at the inbox and the spam box isn't there either"
1,"Kalau ada yg ribet ngapain dibuat mudah... Untuk baca buku aja kok sulit banget ya di aplikasi ini.. Minta registrasi, sesudah itu, pasword, Verifkasi email yg verifikasinya nda pernah muncul di email... Bagaimana mau mencerdaskan kehidupan bangsa kalau begini....karena untuk cerdas mau baca aja RIBET.","If something is complicated, why make it easy... To read a book, how come it's really difficult in this application.. Ask for registration, after that, password, verification of email that never appears in email... How do you want to educate the nation's life like this ....because to be smart just want to read RIBET."
1,Min tolong di perbaiki aplikasi nya karena ketika saya mau membaca loadingnya lama,"Min, please fix the application because when I want to read it takes a long time to load"
2,Mau baca antri dulu. Ga asik,Want to read queue first. not cool
4,Saya kasih bintang 4 tapi knp pas minjam buku katanya belum verifikasi email disuruh cek di kotak tapi udah cek ulang2 kok nggk ada yaa.,"I gave 4 stars but why when I borrowed the book, they said they haven't verified the email, they were told to check the box, but I've checked again, how come it's not there."
5,"terimakasih ipusnas sudah memudahkan saya untuk membaca buku dan saya mohon pada pihak ipusnas untuk perbanyak koleksi buku sejarah-nya, terimakasih❤","thank you ipusnas for making it easier for me to read books and i beg ipusnas to increase the collection of history books, thank you❤"
3,"Apk ini bagus, banyak buku gratis yg oke. Tapi gak enaknya kenapa saya sering susah mau searching atau lihat yg udah di download buat baca? Belum lagi ke log out tiba2, gak jelas.","This apk is good, lots of good free books. But I don't like it, why do I often find it difficult to search or see what has been downloaded to read? Not to mention logging out suddenly, it's not clear."
1,"Tolong bantuannya knph saya g bisa pinjam buku di aplikasi ini,padahl saya udh daptar dan login pake akun asli,tapi masih tidak bisa meminjam","Please help, why can't I borrow books in this application, even though I have registered and logged in using the original account, but still can't borrow"
1,"Tolong perbaiki kendala login, saya sudah coba berulang-ulang sampai 2x install ulang aplikasinya. Sangat merepotkan sekali. Setiap login selalu stuck Untuk koneksi internet saya aman dan lancar, tapi masih saja tidak bisa login","Please fix the login problem, I have tried over and over again until 2x reinstall the application. Very troublesome. Every login is always stuck For my internet connection is safe and smooth, but still can't login"
2,Aku mau baca bukuny tapi harus login aku udah login pakai akun email ku tapi ngelag malah harus ulang2 aku loginny tapi tetap nggak bisa:),"I want to read a book but I have to log in to my account, I've logged in with my email account but I'm lagging, I have to log in again but I can't :)"
5,"Selamat pagi, salam literasi Mau nanya dong, ipusnas sedang error atau tidak tanggal 25 November ini? Soalnya sinyalku aman2 aja kalo buka app lain. Tapi pas buka app ipusnas sinyalnya langsung down. Takut ternyata hpku yg error akhirnya coba hapus app dan install ulang. Masih sma ternyata. Udah di restart juga hp tetep aja begitu","Good morning, literacy greetings. Do you want to ask, is Ipusnas in error or not on November 25th? Because my signal is safe if I open another app. But when I open the Ipusnas app, the signal immediately goes down. I'm afraid it turns out that my cellphone has an error, finally I try to delete the app and reinstall it. It's still the same. I've restarted the cellphone, it's still the same"
3,"Sebenernya bagus. Membantu banget cari referensi buku atau sekedar membaca novel. Tapi tolong dong perbanyak koleksi, sama perbaiki sisitem. Masa sering banget lama kebuka akhirnya gabisa2 padahal jaringan oke.","It's actually good. Very helpful in finding reference books or just reading novels. But please, please increase the collection, as well as improve the system. It takes a very long time to open, finally it doesn't work even though the network is okay."
3,Kenapa akhir-akhir ini sering eror yaa...,Why has it been crashing a lot lately...
3,Kok ngelag yaaa apk nyaaaaa....huft...pdhl kn mau baca+ buat tugas nihhhhhhh,How come the apk is lagging....huft...pdhl why don't you want to read+ for assignments?
2,"Ya ampun, kenapa sekarang jadi lambaaaaaat bangettttttt. Untuk buka deskripsi buku dan ulasan harus nunggu sampai 3 menit 😭😭 Sekalian saran, buat mode baca untuk malam, biar mata nggak perih 🙏 Terima kasih","Oh my gosh, why is it so slow now. To open book descriptions and reviews, you have to wait up to 3 minutes I would like to suggest, make a reading mode for the night, so your eyes don't hurt 🙏 Thank you"
1,Kok saya tidak bisa login ya,How come I can't log in?
1,"Gimana niat baca mau naik, mau masuk aja lemot banget ditunggu 10 menit gabisa bisa hadeh","How does the intention to read go up, just want to enter, it's really slow, waiting for 10 minutes can't be done"
1,"Aplikasinya masih banyak bug, variasi buku masih minim.","The application still has many bugs, the variety of books is still minimal."
3,"Kenapa nggak bisa dibuka, ya","Why can't it be opened, huh?"
5,"Seneng banget bisa baca buku2 gratis, koleksinya biar ditambah lagi","It's really nice to be able to read free books, let's add to the collection"
3,Lemot ngelag koleksi buku krng coba ditambah in lagi🥰,Slow to lag book collection when I try to add it again
4,Baru pertama coba atas rekomendaso teman literasi. Kalau bagus aku tambah satu bintang lagi. Tolong tambah lagi ya buku novel terjemahan juga.,Just tried it for the first time on the recommendation of a literacy friend. If it's good I'll add one more star. Please add more translated novels too.
5,Bagus bangeett sukaaa sekali dg aplikasi ini,"Very good, I really like this application"
3,setelah diperbarui malah semakin laggy.. tolong diperbaiki ya,after updating it's even more laggy.. please fix it
5,Ipisnas lagi ada kendala kah? Kok akun saya kembali ke awal lagi terus semua buku yang ada di library saya hilang semua padahal baru pinjem😭😭😭 terus login ulang pake email ga bisa😭😭,"Is there any problem with Ipisnas? How come my account goes back to the beginning again and all the books in my library disappear even though I just borrowed it I keep re-logging in using email, I can't"
2,mengapa ketika saya ingin pinjam buku di i pusnas tapi selalu gagal. dan keluar meberituan bahwa akun saya di suruh verifikasi dulu melalui pesan masuk email. sedangkan di email saya tidak ada pesan masuk dari i pusnas. itu bagaimana ya?,why when i want to borrow a book at pusnas but i always fail. and it came out saying that my account was asked to verify first via an email inbox. while in my email there is no incoming message from pusnas. how is that?
3,apk yang bagus tapi sering eror,good apk but often error
1,Masih belum bisa ka,You still can't
4,Aplikasi ini sangat membantu dalam segalah hal sangat direkomendasikan bagi mahasiswa Cuma tolong selipkan fiture untuk save batas bacaan dan bisa menandai hal hal yang penting,"This application is very helpful in every way, highly recommended for students. Just please insert a feature to save reading limits and be able to mark important things"
5,"Saya kasih bintang 5 deh, karena saya suka banget pakai aplikasi ini untuk baca ebook secara legal. Semoga kedepannya, koleksi buku di sini makin lengkap.","I give it 5 stars, because I really like using this application to read ebooks legally. Hopefully in the future, the collection of books here will be more complete."
4,"Sebetulnya saya sangat terbantu karena aplikasi ini. Membaca jadi lebih mudah. Akan tetapi, akhir-akhir ini saat mau buka aplikasi/cari judul buku/buka rak buku/lain-lain loading nya sangat lama. Padahal internet saya normal. Mohon segera diperbaiki.","Actually I was very helped because of this application. Reading is so much easier. However, lately when I want to open an application / search for a book title / open a bookshelf / etc. it takes a very long time to load. Even though my internet is normal. Please fix soon."
5,"Aplikasi ini memang pantas diberi bintang 5. Koleksi bukunya bertahap sudah lebih baik. Namun saran saya sebagai pembaca iPusnas: (1) Biasanya loding aplikasi sangat lama waktu dibuka awal-awal membuka aplikasi. Padahal jaringan saya bagus. (2) Alangkah baiknya kita diberikan urutan mengantri, agar tidak berebut ebook dengan yang lain. (3) Alangkah lebih baik notifikasi -buku yang sudah tersedia- muncul di atas bar notifikasi.","This application deserves 5 stars. The book collection is gradually getting better. However, my suggestions as an iPusnas reader: (1) Usually loading applications takes a long time to open the first time the application is opened. Even though my network is good. (2) It would be nice if we were given the order of queuing, so as not to fight over the ebook with others. (3) It would be nice if notifications -books that were already available- appeared above the notification bar."
2,"Mau baca malah gagal terus koneksinya, saya coba pakai WiFi atau Data seluler tetap saja gagal, Tolong diperbaiki.","I want to read and the connection continues to fail, I try to use WiFi or cellular data but it still fails, please fix it."
3,Orang lama bagt masukk nya,Old people are good to enter
2,Suka error yaa kenapa??,Why do you like errors?
1,"mau log in ke facebook tapi kok lama banget, katanya harap tunggu, mau nunggu sampe kapan??????","I want to login to Facebook but why is it taking so long, he says please wait, how long are you going to wait?????"
3,Padahal sinyalnya udah 5G tapi daftarnya lelet banget,"Even though the signal is already 5G, the list is really slow"
3,"Apk ini emang bagus. Tapi kenapa enggak bisa minjam buku sih. Padahal udah masuk email, pswrd juga udah bener.","This app is really good. But why can't I borrow a book? Even though the email has arrived, the pswrd is also correct."
3,"Tolong perbaiki, saya ingin baca bukunya eh disuruh login, ya saya login make akun FB, setelah itu disuruh nunggu. Tapi, nunggu loadingnya itu kok lama ya? Apk normal kan biasanya cepat atau paling gak ""agak cepat"" ya. Tolong perbaiki ya🙏","Please fix it, I want to read the book, I was told to log in, so I logged in with my FB account, after that I was told to wait. But, why does it take so long to load? Normal apks are usually fast or at least ""a bit fast"". Please fix it🙏"
5,"Baguss banget. Menurutku iPusnas membantu banget sihh, sarannya lebih dibanyakin kumpulan buku-bukunya. Terima kasih","Very good. I think iPusnas is really helpful, the advice is to make more collections of books. Thank you"
4,Well,Well
1,Udah download 2 kali tetep aja gk bisa masuk,I've downloaded 2 times and still can't log in
5,🌹❤️👍,❤️👍
5,"Saya merasa sangat terbantu dengan adanya aplikasi ini, banyak buku yang bisa saya jadikan sumber untuk mengerjakan berbagai macam tugas perkuliahan, terutama laporan praktikum. Saran dari saya mohon tambahkan fitur pencarian kata kunci pada buku yang sedang kita baca/buka supaya lebih mudah dan mempercepat proses pencarian materi yang sedang kita butuhkan. Selain itu, saya izin memberikan saran kuota meminjam buku untuk perhari nya lebih dari 5, supaya kita sebagai pembaca lebih leluasa.","I feel very helpful with this application, there are many books that I can use as sources for doing various lecture assignments, especially practicum reports. My advice, please add a keyword search feature to the book we are reading/opening to make it easier and speed up the process of finding the material we need. In addition, I give permission to suggest a quota for borrowing books for more than 5 per day, so that we as readers are more flexible."
4,iPusnas memang bagus namun ada beberapa kekurangan yang aku kurang sukai. Contohnya sebelum meminjam tidak bisa melihat isi buku(tidak seperti Smart Library walaupun hanya beberapa halaman) jadi terpaksa meminjam untuk mengetahui isi buku dan terkadang buku yang dipinjam tidak sesuai harapan. Selain itu juga tidak bisa mengetahui berapa banyak halaman di buku yang akan dipinjam. Tambahkan juga 'baca nanti' atau semacamnya supaya bisa menyimpan buku yang akan dibaca tapi belum sempat meminjam.,"iPusnas is indeed good but there are some drawbacks that I don't like. For example, before borrowing, you can't see the contents of the book (unlike the Smart Library even though it's only a few pages) so you have to borrow to find out the contents of the book and sometimes the borrowed book doesn't match your expectations. In addition, they also cannot know how many pages in the book will be borrowed. Also add 'read later' or something like that so you can save books you want to read but haven't had time to borrow."
3,Sebenarnya referensi pada bagus tapi tolong dong perbanyak copy an nya 😭 Saya nunggu dari semester 1 sampe lgi nyusun skripsi pun selalu kehabisan 😭,"Actually the references are good, but please make more copies I've been waiting from semester 1 until I'm writing my thesis and it's always running out"
4,Pembahasan mengenai penyandang disabilitas hanya ada beberapa dan undang undang tentang penyandang disabilitas tidak ada juga saran si agar memperbanyak pembahasan mengenai penyandang disabilitas biar mempermudah mahasiswa mencari informasi terima kasih,"There are only a few discussions about persons with disabilities and the law on persons with disabilities does not suggest that there should be more discussions about persons with disabilities to make it easier for students to find information, thank you"
1,Gimana minat baca mau naik. Bikin aplikasi yang harusnya memudahkan kita untuk membaca eh ini malah bikin ribet. Koleksi buku juga ga lengkap ditambah mau baca buku keluar mulu disuruh log in ulang. Payah sepayah payahnya. Kasih bintang satu aja soalnya emang pantas dapat bintang satu doang.,"How will interest in reading go up? Making an application that should make it easier for us to read is actually making it complicated. The book collection is also incomplete, plus if you want to read a book, you will have to log in again. It's as hard as it is. Just give one star because you really deserve one star."
4,"Untuk sekarang sudah lebih baik dari yang dulu, terima kasih admin yang sangat fast respons dalam menanggapi kendala dari para pengguna","For now it is better than before, thank you admin for the very fast response in responding to problems from users"
5,"Aplikasi nya bermanfaat bgt, tp knp ya sering eror, problem conection?? Pdhl Internet sy stabil kog .","The application is very useful, but why do you often get errors, connection problems?? Pdhl my internet is stable bro."
2,Gak bisa dibuka buku yang sudah dipinjam.,Cannot open books that have been borrowed.
5,"Bagus nih buat baca baca novel. Tapi ada yang kurang, tolong tambahkan fitur list biar kalo ada e-book yang mau di baca tapi masih ada yg belum selesai, jdi ga usah di pinjam biar masukin ke list dulu .","It's good for reading novels. But something is missing, please add a list feature so that if there are e-books you want to read but there are still unfinished ones, so you don't need to borrow them to add them to the list first."
4,Sungkem sama yg punya ide buat aplikasi ini 🛐🛐,I'm sorry for the one who had the idea for this application
5,"Aplikasi ipusnas ini membantu sekali tetapi alangkah baiknya jika di sediakan forum untuk diskusi tentang buku buku dan belajar bareng membahas 1 buku atau lebih , tidak hanya rekomendasi buku","This ipusnas application is very helpful but it would be nice if a forum was provided for discussions about books and studying together to discuss 1 or more books, not only book recommendations."
5,"Sangat memudahkan dalam membaca buku yang diminati, tanpa harus membeli","It's very easy to read the book you are interested in, without having to buy it"
5,Suka.,Like.
1,"Kok aku gak bisa login, yah ? Dari tadi 'harap tunggu' terus 😩","How come I can't login, huh? Since then 'please wait' continues"
5,Sangat direkomendasikan jika ingin membaca buku.,Highly recommended if you want to read a book.
4,Sekarang udh ga lelet lagi... Terima kasih ya updatenya,Now it's not slow anymore... Thank you for the update
5,Terima kasih. Semoga koleksinya makin banyak.,Thank you I hope there will be more collections.
4,"Bagus aplikasinya jadi bisa buku yang gak mampu membelinya, diberikan waktu 4 hari buat bacanya, walaupun harus ngantri dulu tapi overall bagus","It's a good application so you can get books that can't afford it, given 4 days to read it, even though you have to queue first but overall it's good"
5,Aplikasi nya super duper bangetttttt,The application is super duper
5,Gudang ilmu,Knowledge warehouse
5,"baguss, tapi tolong tambahin lagi novel genre fantasy nya, terutama semua novel karya tere liye","good, but please add more fantasy genre novels, especially all novels by tere liye"
5,"Mau komplain, sebelumnya masuk akun lancar2 saja, kenapa sekarang mulai eror dan gak bisa login?","I want to complain, before logging in to the account was smooth, why is it now starting to get an error and I can't log in?"
5,"Saya sangat berterimakasih kepada pemerintah dan pihak-pihak yang berkontribusi dalam pembuatan aplikasi ini. Harapan saya, semoga jumlah salinan buku semakin diperbanyak, khususnya untuk buku yang banyak peminatnya. Kemudian untuk tampilan dan fitur aplikasinya, semoga semakin ditingkatkan agar semakin mempermudah dan mempernyaman pembaca.","I am very grateful to the government and parties who contributed to the creation of this application. My hope is that the number of copies of the book will be increased, especially for books that have a lot of interest. Then for the appearance and features of the application, hopefully it will be further improved to make it easier and more comfortable for readers."
1,Susah login,Difficult to log in
5,Bagus ayo kembangkan lagi,Good let's develop again
2,"Min.. Adain buku-buku karya alm. Prof. Dr. H. Aziz Fachrurrazi, MA. dong.. terus buku Models of Teaching, Learning Theories dan buku-buku lainnya. Nanti saya kasih bintang banyak kalo buku-buku yang saya cari sudah ada.","Min.. There are books by the late. Prof. Dr. H. Aziz Fachrurrazi, MA. dong.. continue the book Models of Teaching, Learning Theories and other books. I'll give a lot of stars later if the books I'm looking for are already there."
3,Nunggu untuk dapat giliran baca buku nya lama,Waiting to get my turn to read the book is a long time
4,"Halo, apakah fitur 'catatan pribadi' bisa ditingkatkan lagi? Saya pernah nulis di catatan pribadi, tetapi catatannya tidak tersimpan, padahal saya online dengan jaringan memadai. Terima kasih, semoga aplikasi semakin baik untuk kedepannya.","Hi, can the 'private notes' feature be improved? I once wrote in personal notes, but the notes were not saved, even though I was online with an adequate network. Thank you, hopefully the application will be better in the future."
5,"Sangat membantu sebagai penunjang pembelajaran... Mohon untuk diperbaiki ketika buku sudah tersedia, ada notifikasinya gitu","Very helpful as a learning support... Please fix it when the book is available, there's a notification like that"
5,Sangat bagus ini aplikasi,Very good this app
5,Bagus sangat membantu untuk mencerdaskan anak bangsa,"Good, very helpful for educating the nation's children"
5,Lengkapin dong fitur fitur nya,Please complete the features
5,Dimohon jumlah copynya diperbanyak buat buku-buku yang banyak peminatnya jadi gak perlu lama antrinya,Please increase the number of copies for books that have a lot of fans so you don't have to wait long
5,Good,good
5,"mohon tambahkan buku tentang ensiklopedia dan biografi tokoh tokoh luar, saya sangat suka membaca keduanya 🙏🏻","please add books about encyclopedias and biographies of external figures, I really like reading both 🙏🏻"
5,Terimakasih sudah memuat aplikasi ini. Hatur nuhun,Thank you for loading this application. Thank you
1,"Ribet, mau baca saja harus notif akun lagi,. Kayak mau cairkan dana bantuan tapi lewatin banyak pos. Setiap pos dipotong. Pantesan gak pintar pintar","It's complicated, if you want to read it, you have to notify the account again. It's like you want to disburse aid funds but you miss a lot of posts. Each post is cut. No wonder not smart smart"
