final_trans,compound_score,sentiments
wrong apk for android hp android big rating good disappointed to use,-0.5106,negative
thank you farmer family free knowledge salute,0.7003,positive
I swear the application benefits install kurleb Sunday PPKM home read Ipusnas book thankyou,0.34,positive
homepage book recommendations according to the users object look for recommendations on youtube home drag and drop books search topics,-0.4588,negative
Indonesian people apk easy to read read command so read priority read qur Muslims read consistently,0.4404,positive
complicated official application bad quality orders shame,-0.765,negative
a complete book of practical applications thank you ipusnas for helping the pandemic,0.5719,positive
Dear developers hope the application crashes read books net book detection copy limits rises peoples reading interest is free of copy,0.8957,positive
I like good quality non fiction fiction books,0.6597,positive
bad benefits application bad use star star account benefits,-0.4215,negative
like the loading application looking for books downloading hard to find good bugs good internet its hard to load thank you,0.8402,positive
Sorry asking open the application open it its clear I took the wrong server data my internet network is good because I read the Ipusnas book,0.2732,positive
the benefits of the nations intelligent complete books,0.6808,positive
application slow loading super download,0.5994,positive
Whats a good reading home application complete in front of a biographical novel eheheh thank you for helping,0.836,positive
Honestly for the visually impaired you need a good digital book read read the screen but the blind are blind,-0.631,negative
sorry for posting info taking good intentions,0.3818,positive
book add book philosophy blind plato sophie world,-0.4019,negative
do you mean take data server dls app open confused,-0.3182,negative
application benefit application application for developing state funds application for advice perfect ui ux added a book sorting feature for the category of basic written books published support for landscape mode advice received make Indonesia read again wassalamu,0.8555,positive
love the application the benefits of the real library application read good the benefits,0.9062,positive
the date of the error is bright take the dls server data its good thanks,0.7184,positive
popular book sort feature easy to find fun books good UI appears,0.8979,positive
book content Chinas economic reform rises renminbi urgent,0.2023,positive
its bad to access using email using facebook ipusnas reading books,-0.5423,negative
Suggestion for unlimited copy give a reading limit its difficult to borrow wait quite a bit go to the limit for copying books,-0.3612,negative
the application is good the preview is good read discuss the synopsis help borrow books have a minimum preview of the books table of contents,0.8176,positive
best book,0.6369,positive
good application recommended reading pandemic books,0.5719,positive
the spirit of the Ipusnas to advance Indonesian science and,0.1779,positive
application that helps book collections is quite complete suggestions for notification of queues for books easy applications target books,0.6705,positive
return book failed to write valid item sold,-0.5106,negative
disappointed that the download application appears the phrase take server data the internet connection is open this week,-0.4767,negative
sorry for reading the stock book order to check the email Ipusnas email verification read the application book,-0.0772,negative
try logging in again sad looking for smt material books,-0.4767,negative
ipusnas error opens,-0.4019,negative
feature access lot is not effective,-0.3724,negative
download read the story book of lai band indonesian number noah,0.0772,positive
help bored reading books read apps,0.1531,positive
failed to login fetch server data dls help,-0.1531,negative
Notifications become books queue up ready to borrow,0.3612,positive
good app upgrade book stock add,0.4404,positive
its great the collection of books is queuing to try Years in line you cant get your book,0.6249,positive
complete collection of bargain books change pages choose side transitions comfortable play books comfortable thank you free reading access,0.9393,positive
the system is good the application opens wrong info appears,-0.0516,negative
good app rating good app star starring good app read hard,0.8074,positive
disappointed login application,-0.4767,negative
failed to relogin write take server data reinstall the good application ipusnas collection pull ipusnas read,-0.1027,negative
disappointed ipusnas login is difficult to try,-0.6808,negative
good jam,0.4404,positive
nice cool app,0.6249,positive
good application books are good seek advice comfortable reading add the option to measure letters it is quite difficult enjoy reading measure letters on mobile thank you,0.9059,positive
disappointed login application try a few weeks try books Please have stock queue notification day appears HP book queue borrow login data open reading app,-0.2023,negative
like reading books request,0.3612,positive
good quality book read fiction nonfiction benefits for free borrow a good book,0.8934,positive
good application development convenient reading application easy to use examples of published book classification features book classification popular book releases read bookmarks save books easy pull search read front steering application,0.9287,positive
excited to download the app open the DLS server the intent is to download the signal smoothly help the developer,0.6249,positive
easy search menu user search for books,0.4404,positive
loading is grandiose good hurry up stress,0.0258,positive
add a complete book collection add a copy read read a book queue read a complete book good,0.4404,positive
sorry for borrowing the ipusnas book loading failed to respond thank you,-0.2732,negative
Thank you the application helps talk about the loan limit question use the time application automatically returns wait for the person remember to use the queue Sgla online suggestions add features to recommend books feature applications use book limits borrow to borrow sorry for wholesale thank you,0.8316,positive
good people read money buy books,0.4404,positive
good application borrow book error,0.0516,positive
good read agam fiction non fiction books suggestions to add collection of novels by tere liye serial lost by sel ali thank you useful application,0.7184,positive
ipusnas helps complete categories adds a search feature easy title easy search for books,0.8126,positive
difficult login facebook via email difficult login application wait,-0.6124,negative
choose a pull book using an easy apk without ads,0.4404,positive
good application suggestions for copying ebooks appear a lot read variations less edit history read double borrowed books thank you,0.6597,positive
its hard to log in facebook write wait stuck there try to login email password says wrong book borrowed,-0.6705,negative
good book in reading steel too,0.4404,positive
help find the book the price is difficult to access thank you ready,0.6369,positive
turn on the notification that the book is ready to appear a notification that the book is out of stock,0.3612,positive
help benefit thank you success hold on for free add insight know how to read,0.9349,positive
good book update please appear now read young pull,0.6369,positive
Ipusnas pandemic helps look for literacy Ipusnas assignments belonging to good novels Suggestions for the Ipusnas application the dark mode feature is bright reads the lights are off,0.8126,positive
read a good book,0.4404,positive
I like the application collection of books the Heroes Olympiad Son Neptune by Rick Riordan Ipusnas ready for the Son Neptune book Column for the review of the Hoo Mark series Athens Read the Heroes Olympus Son Neptune,0.891,positive
good application library distance kilometers far helps Ipusnas bestseller books negative queue for borrowing application read books read pages fixed bug,0.2023,positive
easy loan service feature pull out science reference books available suggestions for collection of tofu books Indonesian thorough written writing books Indonesian student reference books for religion knowledge optimal results pandemic uncertainty the spirit of Ipusnas,0.5719,positive
cool thank you ipusnas for reading the covid pandemic house,0.5859,positive
the ipusnas application helps add insight into the collection of books,0.3818,positive
download the maintenance process borrow a good book,0.4404,positive
Alhamdulillaah heaven free access books thank you ipusnas,0.8442,positive
the meaning of the application manage orders honest quality access constraints good net applications operation like to help be good,0.9231,positive
good concept user interface friendly developer pays dearly enthusiasm for work,0.8957,positive
good collection of books,0.4404,positive
its hard to borrow an email account borrow a good wife,0.3612,positive
help ririn read the novel thank you so much,0.7579,positive
good old book digital culture history,0.4404,positive
add a favorite feature look for it here,0.4588,positive
a notification appears a problem loading books categories no connection check your connection connection opens the application smoothly jaya bug patched,-0.5994,negative
join,0.296,positive
ipusnas error book borrowed bookshelf telling member registration to write failed,-0.7184,negative
hope apk knows according to expectations complete novel apk error book knows stock a little wait a month to read,0.3612,positive
Thank you for being born where to visit the library help advice find basics published book list read wish list find cool books full borrowing quota sometimes I forget the title Im looking for,0.8074,positive
its pretty easy to borrow and read books complete with a variety of books,0.7269,positive
like it you dont need to go back and forth the National Library of Indonesia borrow a book thank you for the application command,0.6124,positive
sorry the complete book of student assignments is reliable apps,-0.0772,negative
good application how good the wishlist feature is to add a book meeting book pull read feature to find borrow history,0.7003,positive
ipusnas is a good application helps to find reference books for college assignments login account reinstalled the solution thank you try logging in with a smooth internet connection,0.8519,positive
cool apk hope the collection of bestselling books is added,0.6369,positive
sorry login take good server data,0.3818,positive
good application borrow books book stock limit need books queue end get books online offline system use offline system command meaning good system easy student process online campus closes pandemic fast graduation,0.7717,positive
more convenient practical free apk the name of the book is short sometimes its loading look for books according to the category like to write complete data good books,0.8387,positive
like apk,0.3612,positive
offline visits online,-0.128,negative
application to help love textbooks download explore knowledge broaden knowledge,0.7845,positive
costeffective benefits of digital book home libraries see feel at home reading audio books help,0.6486,positive
nice app thank you read home relax thanks to the app,0.8779,positive
sorry thank you for the star application download facebook list write wait,0.296,positive
This applications sukuk add insight into leisure hope the school for good evil series is a success for Ipusnas,0.6249,positive
Thank you for the response from the front the dark background feature the large font function according to reading the best seller book collection literacy,0.7717,positive
good application benefits thank you ipusnas wrong advice minus return book borrow book good book system back borrow minimum time lag go back to monopoly book thank you,0.7845,positive
good app tired tired of money going pus says complete book quite a problem natural search for book search results wait minutes waiting for book understand download front application ipusnas encourage interest in reading Indonesian people,0.4914,positive
good app lots of popular books stock out of stock,0.6908,positive
like the application to help transfer final students suggestions for many natural online textbooks thank you,0.8481,positive
sorry for borrowing the stock book it is recommended that you check the email for the developers complete contents,0.128,positive
like the suggestion application add the save book feature read and borrow sometimes borrow books find books easy read find books thank you,0.8779,positive
application error open the borrowed book good,0.0516,positive
sorry star download laptop open login using facebook write sorry application ready to develop good application access windows laptop follow up thank you,0.743,positive
library application search download install sorry brother read force close force close clearly,0.34,positive
Thank you the application for helping the Ipusnas application meeting book reference task,0.5719,positive
good sometimes error is good,0.4767,positive
help you,0.4019,positive
connect server no dsl solution buddy,-0.4874,negative
the application appears a flickering screen the sudden page darkmode reinstalls the problem,-0.4019,negative
books choose read very good,0.4927,positive
open wrong,-0.4767,negative
sorry download ipusnas finished downloading dls data application help,0.34,positive
free then the system software application is slow,0.5106,positive
sorry to give stars download the application write sorry dls dls read pictures write interactions,-0.1531,negative
help reference popular novels add stock queue read top written novels upload Ipusnas beside Ipusnas save money read books stop buying steel books write prices,0.8074,positive
the zoom feature select the font size for the comfortable book thank you ipusnas,0.7003,positive
read support bug,0.4019,positive
good flower benefits application,0.6705,positive
new application development helps add a dark mode background change feature it hurts to read well long bug borrow a book thank you,0.4767,positive
recommended app,0.2023,positive
the benefits of the pandemic find books in the audience thank you ipusnas,0.6249,positive
ipusnas sorry ipusnas access ipusnas open open appears dls good access ipusnas thank you literacy,0.6249,positive
the book is quite complete logout login error wait for writing hours wait well thank you,0.2263,positive
rotten,-0.5106,negative
Thank you the application looking for a novel reference book comes out the fee for the book notification feature is queued up a notification appears that the book is ready its difficult to borrow a book,0.5859,positive
give a rating open the application error wait,-0.4019,negative
login email problem,-0.4019,negative
I thought there were a lot of books looking for holes in the PKI Madiun massacre disappointed to uninstall,-0.4767,negative
thank you very much,0.3612,positive
bad book appears fix the app,-0.5423,negative
click download notebook failed to hold item remaining book good solution,0.2263,positive
complicated to cook minutes tell me to log in good,0.4404,positive
good book,0.4404,positive
easy error open the crash category column,-0.3612,negative
like the Sunday khatam application error loading book borrowed,-0.0516,negative
Its good to have school textbooks curriculum packages school books according to the curriculum sell well,0.6124,positive
hobby reading likes apps,0.4215,positive
good app help either borrow a book wait for email verification apk verification code box,0.6808,positive
good apk operators sometimes like the error apk flower Indonesian literacy apk forward the spirit of the younger generation,0.5267,positive
easy to use good application add dark mode feature,0.7003,positive
good application error suggestions large collection of books textbooks books lectures active books thank you,0.6597,positive
good good application add wishlist button find books thank you,0.8074,positive
many good applications looking for books complete loading reading sometimes good normal changing reviews,0.7003,positive
Ipusnas reading right and left feature manga read manga see double page left right weird double page split thank you,0.2023,positive
add a copy of popular books read,0.4215,positive
application downloads access to old books error connection notification sometimes asks to login sometimes fails downloads borrow wrong books sometimes notifications system error redownloads applications need complicated books,-0.8834,negative
thank you application easy application find illegal free comic books often read your white background suggest that you have a dark background dark mode easy to read white glare thank you sorry kenan,0.8481,positive
ipusnas apk favorite features mark read and borrow a maximum of books,0.4588,positive
application error when downloading,-0.4019,negative
good application use good meeting file,0.7003,positive
loan error returning borrowed book unknown error registration push button borrow book copy book quite complete application level thank you,-0.4404,negative
complete line of borrowed books bugs borrow books back pay attention,-0.1027,negative
application to help clean up the server needs a reference book application thank you,0.7845,positive
borrow good error,0.0516,positive
ugly confused about using login writeborrow failed to become a member,-0.836,negative
good application likes errors the purpose of holding items borrowing books is difficult to explain,0.2023,positive
good application helps unknown errors stable nets accounts sometimes borrow books loading application errors,0.4404,positive
good application easy for the community by reading stable error good good,0.8779,positive
error day,-0.4019,negative
good application hard loan,0.3612,positive
good error rating,0.0516,positive
a good application that encourages interest in reading Indonesia minimizes consumption of steel books the process of borrowing books is quite difficult internet connection is good the system is easy to borrow books,0.8958,positive
ipusnas every time open application can there inscription unable to retrieve data can enter solve,0.2023,positive
good application handheld library open the application problems open the application tell me to open the login application borrow open clearly thank you,0.6597,positive
borrow a book after borrowing error,-0.4019,negative
Andres target books are limited in unlimited ebooks,-0.2263,negative
meaning to use love,0.6369,positive
good level of comfortable attractive appearance,0.8442,positive
try error suggestion error rate registration application fail good application good books buy expensive free reading application Indonesian literacy application low,-0.2263,negative
good grade book history book read prof peter carey loading level system,0.4404,positive
good enough to add a book reference,0.4404,positive
write online library books as well as illustration pictures of peoples level of reading interest,0.6249,positive
good application borrow books borrow books hard to hold items unknown error stable internet signal good good books look for borrowing problems thank you,0.765,positive
list error,-0.4019,negative
easy login login error,0.0516,positive
update its difficult to borrow a good book add a search history feature easy to find books,0.5106,positive
like to read ipusnas login,0.3612,positive
wrong email email password list,-0.4767,negative
ipusnas error immediately good login borrow books,0.0516,positive
the cellphone likes to write errors the net login meeting data is good its good,0.7351,positive
the complete book appears interesting,0.4019,positive
borrow a book a good connection error appears,0.0516,positive
borrow a problem book,-0.4019,negative
borrow appears a warning failed unknown error app needs people to use illegal good,-0.8442,negative
thank you reading facility,0.3612,positive
a good application for the level of book titles search increase the capacity of books read queue borrow thank you,0.7717,positive
applications full of interest reading pusda busy rarely stopping by pusda download ipusnas sdkit medicine miss reading honest books posting application tere liye viral,0.7306,positive
make a notebook column easy to find for a novel book rating thank you,0.7717,positive
available features column markings easy search write marks read books many novels easy translation find novels like to read novels novels make a list of recommendations for the month of bestselling books read several liters,0.8074,positive
the search column looking for books found the problem book stock,-0.4019,negative
ipusnas good application good reading full quality average collection read a lot of updates added dark mode comfortable reading in low light conditions thank you ipusnas flower,0.8591,positive
its difficult to log in to read a book,-0.3612,negative
good easy children like to read the stock the limit is waiting for teres work read the feedback tere add the top apk,0.8442,positive
add the wishlist feature save books read hard to search,0.4215,positive
thank you good application update select large appear old books it is difficult to read write application books,0.4404,positive
smartphone version app iphone pc tablet app scrumptious app hardware version tv flat screen sony bravia gb atv,0.4767,positive
download apk angry angry thank you angry angry honest good apk complete book incer queue,-0.6705,negative
turning page manual scrolling page eating a hundred pages of books features looking for references scientific papers easy to read chapters suitable for applications lacking applications user interface cases thank you user feedback the realization of a star of change,0.6597,positive
the application belongs to the country class funny error command application and quality application funds,0.0516,positive
shame shame,-0.7351,negative
miss,-0.1531,negative
its hard to use traffic jams dont buy steel books,-0.1027,negative
it sucks to download a smooth internet connection tell me to close the apk intent,-0.3612,negative
sorry star app download delete download open tell me to try dls help Ipusnas team thank you,0.5994,positive
download the application the level of interest read the application read the article load the angry news tere liye steely behavior go to steel to make a loss read free books ipusnas teach tube spirit book bar,0.34,positive
application error open notification wrong server data good quality helps easy literacy difficult,0.0258,positive
happy heaven love budget books that fit the quality level,0.9287,positive
good application waiting for book notifications waiting for notifications sometimes feel fast seconds ready to be more cool ipusnas,0.7902,positive
application help book preview suggestion book borrow book table of contents,0.4019,positive
the application for the command of the quality of the shame of shame in,-0.7351,negative
open wrong hard to open,-0.5423,negative
Borrowing a book is wrong to educate the nations life,-0.4767,negative
try to install the bullshit liye library for political purposes regret installing this its better if your literacy is broad,-0.5719,negative
Possume that you are very bored the apk app problem is serious take care of it its better to close shame good effort good intentions bad,-0.024,negative
download the application mei likes the good book application pull up read add more insight confused return borrow finished return bright return clock date may khan calculate book borrow limit book limit thank you,0.8187,positive
nice app thank you,0.6486,positive
sorry rating apk download try to open apk tell close try download good apk,0.3818,positive
bad open apk failed,-0.7783,negative
thank you for coming app,0.3612,positive
list help add fairy tale book collection,0.4019,positive
love it overall its great,0.8519,positive
good looking for free books virtual library thank you,0.8271,positive
Urgent font size adjustment feature,0.2023,positive
login is hard good star,0.3612,positive
download good app version,0.4404,positive
via facebook hard easy via email,0.3612,positive
complete book library save money buy books according to lecture moves simple and complicated applications teach,0.4939,positive
sorry download apk open open appears write take server data dls mean,-0.0772,negative
good application recommended reading books buy mwehehehe suggestions for adding a collection of novels,0.5719,positive
the benefits of adding digital collections to support the work of the academic community,0.6486,positive
personally thank you the ipusnas application good books borrow from ipusnas read the cost of buying ipusnas books stable access thank you ipusnas for help,0.8957,positive
complete books easy borrowing sometimes patient in line free names overall satisfied,0.8402,positive
Failed to borrow a book corrected by a star from reading borrowed,-0.5106,negative
thank you developer the role of the application is delicious easy application channel hobby read books buy read journal reference books,0.8442,positive
like the suggestion application add the borrow book feature history queue up the feature save collect book titles read and borrow wishlist sometimes find books borrow books finish reading books stack borrow shelves long read easy to find books,0.8225,positive
Central government class stable application has a good fast error friend,0.6808,positive
sorry its good the error borrowing a book the app stops is good,0.296,positive
good the error rate is low the content is good the internet signal is smooth,0.25,positive
thank you fast response borrowed book thank you,0.6124,positive
great application thanks for the useful application,0.872,positive
nice add literature,0.4215,positive
the benefits of reading libraries the flower application download the suggestion package using wifi fast download,0.3818,positive
the day of borrowing books again confused,-0.3182,negative
rena read reviews download it download apk cell download apk apk touch the borrow button failed email verification Ipusnas intent to download yesterday may mei borrow book borrow book promise star,-0.25,negative
error install uninstall,-0.4019,negative
far good buy a book deh,0.4404,positive
Use a borrowreading system to make reading very heavy server heavy easytoread method largereading high possibility of increasing willingness to read easy country there,0.6124,positive
Sorry Ipusnas took care of the weight opened it lost in a landslide the Ijabar application for PT Woolu Mild Maya script Ipusnas handed over to take care of Woolu Maya script,0.5859,positive
like the app the front error is rare change it to appear,-0.0516,negative
pusnas command number seurieus application benefits,0.4404,positive
apk error search accordingly sometimes results include fields collections suggestions large collections bidg libraries specific search features search for basics title charcoal sentence book color symbol bright search feature read borrowed books,0.128,positive
the application of the impact of the pandemic opens easy loading borrows a book on maintenance conditions,0.4404,positive
find a feature book add a search feature to save thank you,0.6908,positive
Indonesian content Indonesian command application UI advance menu mixes Rojak Gado Gado English strange,-0.2023,negative
apps like thank you,0.6124,positive
good new book complete book collection of good books,0.7003,positive
teaching aid applications need reference books assignments complete applications complete books complete advice difficult to find references,-0.3612,negative
borrow a notebook email verification open notification email is ipusnas good download and borrow,0.4404,positive
dls error,-0.4019,negative
far the digital pus application helps especially in fact level students need to find book references after completing assignments in the middle of the pandemic error rate borrowing books collection of books teaching stock needing stock of books reading friends,0.4588,positive
good application added insight spend money to buy books error features examples of search features help find electronic book keys,0.4404,positive
thank you for reading the book buy it add to the collection,0.3612,positive
error spikes in line honestly miss Ipusnas belonging to queue error rampant community Ipusnas application wise hooks queue reaches thousands of bus book stocks,0.0772,positive
good application favorite book read books sometimes accidentally find a good book forget the title of the easy reading feature,0.8126,positive
Nikolai Gogols book the souls of the souls die borrow well,-0.4215,negative
edit apk books free books thank youu,0.7003,positive
system error,-0.4019,negative
old school novels are wrong for lazy reading ipusnas,-0.6808,negative
good bother,0.128,positive
the urgency of the camera permission the key function is a mandatory voter for example eperpusdikbud thank you,0.4215,positive
smart errors for Indonesian children the application adds error knowledge,-0.34,negative
maintenance sometimes good,0.4404,positive
good application sad borrow a book,-0.0516,negative
ipunas application helps work report problems install borrow books application application ipunas good use comfortable rangin unstable loading search,0.5574,positive
maintenance app likes to logout well,0.5994,positive
sorry ipusnas maintenance team,-0.0772,negative
the application for the benefits of looking for literacy the task of the book page appears complete the collection is easy to find literacy thank you,0.7906,positive
maintenance benefits looking for college assignment references,0.3818,positive
the system is good thank you ipusnas the collection of books is added,0.6597,positive
thank you for accessing the star love book the application is really good it helps with errors,0.8849,positive
why did you return borrowed books thank you the developer developed an application library suitable for reference suitable for middlelevel teaching,0.3612,positive
thank you good spirit to add ebook novels translated series,0.7269,positive
thank you ipusnas team good service stable application server,0.765,positive
satisfied book ready,0.6486,positive
the problem of borrowing books failed unknown error maintenance carrying the name of the national state normal Ipusnas keeping the service safe National Ipusnas lost business personal applications,-0.7964,negative
ipusnas helps add knowledge to the collection of thousands of books read for free hope the server level is stable,0.875,positive
ipusnas borrowing books is good application error borrowinborrowing book is good application,0.4767,positive
yesterday there were rarely errors frequent errors good apk education for young people likes to read download read the steel ebook apk order to respond quickly to public complaints,0.7246,positive
easy download download server maintenance find books fast good students need book references limit to buying books,0.7003,positive
inspirational,0.5106,positive
good account borrow library,0.4404,positive
Applications help the level of access to public literacy servers good maintenance problems,0.4404,positive
yesterdays error star error borrowed a book thank you for providing free legal books,0.2263,positive
maintenance server error good application help,0.4404,positive
good application for sometimes error borrowing books,0.0516,positive
maintenance maintenance stars friends maintenance stars app appreciation dance apps dance appreciation stars thank you pay attention,0.8957,positive
thanks the application is easy to find references for Ipusnas lectures advanced smart synergy of the nation,0.8591,positive
either borrowing a book failed unknown error writing failed hold item login reinstall the borrowed apk thank you,-0.7783,negative
bjntang sat bad application maintenance error good times good application bright life literacy error,-0.0516,negative
severe application download maintenance day borrow book server error try to be annoyed good application,-0.6124,negative
Seh maintenance unknown error Indonesia emergency read the application model its normal for the public to read the application the model the maintenance time is finished its been used publish for the application its been used install maintenance count the months the stock of books increases,-0.6486,negative
brother asked the application error yesterday the application helps need a reference write a solution,0.296,positive
disturb,-0.4019,negative
its hard to borrow the server maintenance base is complete,-0.1027,negative
nice app for the nations literacy level thank you,0.6486,positive
borrow a good book app,0.4404,positive
the benefits of the application are good error maintaince borrow books so pay attention,0.2344,positive
ipusnas enjoys the Sunday borrowing application is it clear that the server maintenance maintenance today,0.7096,positive
read the novel satisfied search advice choose searching published in the form of Gramedia Noura,0.6249,positive
good apk stars why yesterday the server error maintenance was good that was consistently easy good apk,0.836,positive
ipusnas is good for reading books because of the ipusnas maintenance application,0.4404,positive
good book borrowing applications need books thank you,0.6597,positive
server maintenance library for problems to be fixed,-0.4019,negative
borrow a good writing error book,0.0516,positive
hard to borrow waiting for download to fail,-0.5994,negative
maintenance application needs assignment reference thank you,0.3612,positive
apk problem about borrowing books,-0.4019,negative
the start of borrowing the server error maintenance book today,-0.4019,negative
severe error smart nation library pay attention to significant development tiktok application damaged the nation,-0.6249,negative
like the error application borrow book solution close less boost more,0.5434,positive
book borrowing application failed,-0.5106,negative
good application usefulrecommend like to readtalk talkborrow book account,0.6597,positive
download borrow books is easy try borrowing books error lot application open the quota net safe safe good quality thank you,0.886,positive
the application likes maintenance happy with the application,0.7579,positive
application benefits books ready to borrow books for free borrow books from a good server,0.8834,positive
Sorry borrowing a book borrowing a writing unknown error help,-0.0772,negative
gosh failed to download the book,-0.5106,negative
ipusnas failed the bright book belonging to hold item bright ipusnas thank you,0.6124,positive
the error of borrowing a book is fine,-0.2263,negative
added Ipusnas star Ipusnas interfered with borrowing books failed yesterday Ipusnas is good,-0.1027,negative
server maintenance error good app to help with college assignments,0.4404,positive
borrow a good maintenance error book,0.0516,positive
good application helps find teaching references borrow books fast good applications develop reading innovations,0.8126,positive
borrow a good error book queue borrow books wait to borrow good apk,0.4767,positive
bad ipusnas app borrowing books like maintenance interferes with improving performance,0.2023,positive
National application maintenance loses to private,-0.3182,negative
hii apk is good but sorry to return the book press go to the book then the bookshelf nahh the book is back good good say come back try the book,0.8481,positive
failed book collection unknown error borrowing a book,-0.7184,negative
like the good error book borrowing application,0.4019,positive
good application I like reading books which books are bookshelf books are finished borrowing help,0.7964,positive
The screen appears easy to use Book references many borrowings fail to copy,-0.1531,negative
why does adding ebooks fail the book collection of unknown errors is good,-0.4588,negative
good application meaning borrowing books the queue is long the error is good,0.4767,positive
download the application enjoy reading bring books experience problems borrow books fail on the basis of the application,-0.4588,negative
likes to read complete book applications often errors comfortable upgrading reinstalling errors borrowing books good convenient to use,0.6369,positive
regret downloading borrow reading bad books,-0.743,negative
ipusnas borrow book unknown error,-0.4019,negative
good application helps borrow failed server maintenance,0.296,positive
collection of books is really a book waiting in line for server error notifications failed to borrow books,-0.7184,negative
good read read,0.4404,positive
borrow a book an unknown error notification appears thank you,-0.0516,negative
good apk look for error references,0.0516,positive
really like the fullfeatured apk easy to borrow books a maintenance server appears fix the apk thank you,0.8016,positive
use Ipusnas to borrow books an error occurs,-0.4019,negative
good good download read book failed download,0.3612,positive
Sorry the server is trying to download the server maintenance stock book is it responsive,0.296,positive
application of the benefits of borrowing a book application of problems,-0.0258,negative
good stars advice read stable applications mantenence times search keywords sometimes like to list according to book recommendations history borrow books stick out borrow search politics pop up hooks for state administration executives,0.765,positive
new application must develop added feature drag feature dark mode select theme jump page options many books published books published names Gramedia Borrowing long books impossible to borrow books ending less fun reading read hanging finished,0.2748,positive
use ipusnas to borrow a solution book,0.3182,positive
This time I gave a star I failed to borrow notification of unknown error the problem is that the net is stable using video downloads both the book borrowing application,-0.7579,negative
sorry good app book search download book,0.3818,positive
National library class complete book collection looking for books with disappointed titles,-0.4767,negative
ipusnas online library complete book collection apk error suggestion maintenance schedule info Home,-0.4019,negative
Its good to find motivational books Borrow business textbooks at the dilamain with a collection of books,0.4404,positive
thank you for responding to the patent solution thank you star,0.743,positive
add a collection of legal discipline books to help law students at the level of legal literacy thank you,0.7351,positive
complete book type pp book out application help fill in basic spare thank you application suggestion add wishlist feature add cancel book queue,0.4939,positive
good apk login,0.4404,positive
good like work,0.6597,positive
good application the benefits of the wishlist feature suggestion when the borrowed quota runs out of good books borrow thank you flower application,0.872,positive
good application benefits of borrowing constraints good page reload error page,0.6908,positive
good reading font set the length of reading it hurts good,0.4019,positive
Indonesias borrowing schedule smart intention nation read innovation limit digital library responsibility see the country free download of expensive books smart intention annoyed good innovation bad management access to digital books system limits disguised as strange physical books,0.7783,positive
the benefits of reading books easy access to queue good overall,0.8126,positive
borrow a notebook verify email try to send a notification send a user try to borrow it appears write email verification how to help,0.4019,positive
love to read books,0.6369,positive
thank you ipusnas the application helps to read the quality of the way of life at least zero waste add to the collection,0.3182,positive
complete book copy sample novel by Andrea Hirata fathers novel,0.5574,positive
happy the application helps buy books good pandemic easy application slow search results according to search annoyed scrolling good search results thank you literacy,0.9313,positive
good apk teach front of ipusnas to serve literacy,0.4404,positive
appear change the bookmark the page is bright,0.4404,positive
upgrade app error install app permission change set system system our cellphone system access easy roaming,0.0516,positive
add a broken black paper skin read dark thank you,-0.1531,negative
Sorry the developer sent in the stock of books lots of friends reading waiting in line for the development of knowledge Indonesian society borrowing books queuing up wrong books hampering the development of knowledge thank you,0.296,positive
respectfully say the logs are waiting for bolsters and bolsters here finished the application of the national library books teaching materials novels short stories what to do,0.4019,positive
Added the stock of books reading the queue Mother of thousands added the wishlist feature accidentally saw the stock book ken borrowed and read forgot to lose track of the book thank you,-0.3818,negative
force close finished borrowing books open application force close Ipusnas stop,-0.296,negative
a lot of books are exhausted the level of the list is easy find it easy,0.5106,positive
good apk help borrow books error books money economy books the meaning of Islamic economics by syafruddin prawiranegara try to borrow books,0.4404,positive
the application opens error is good,0.0516,positive
HP worthit application borrowed bookshelf failed to edit so wait,-0.5106,negative
sorry yesterdays apk tried to download finished downloading click OK the application hook is clear thank you,0.7739,positive
stable,0.296,positive
good application likes maintenance errors annoying comfortable reading ahead minimizes Ipusnas success errors,0.7351,positive
thank you ipusnas for helping with the pandemic library students need assignment references,0.5719,positive
upgrade application lot error algorithm search search results appear relevant sentence search try eperpusdikbud eperpusdikbud excels in ui ux design adds book collection loses collection of ipusnas,-0.0516,negative
good application complete comfortable best principal,0.886,positive
bad error when interested in giving free books looking for steel,0.296,positive
good apps read books apk like error,0.4019,positive
good application good emotional level yesterday borrowed books borrowed changed open force close,0.7506,positive
connect server funny developer,0.4404,positive
Thank you Ipusnas friends in my free time the application error is like this the spirit of the developer of the public economy book by Drs Suparmoko was held by Ipusnas CR yesterday couldnt find it,0.8555,positive
sad need apk task error apk good value is empty,-0.3182,negative
application for books search for books open the application good lds appear like the application add insight teach easy find assignment materials thank you,0.8689,positive
good error application thank you,0.4019,positive
fencing error,-0.4019,negative
good maintenance borrow books,0.4404,positive
its good to borrow a scientific paper manual download depression,-0.2023,negative
need to borrow a book server maintenance failed,-0.5106,negative
application to help read books buy original funds read illegally advice server maintenance maintenance notices download maintenance reading books,0.6124,positive
ipusnas is good the server is annoying its cool to read,0.3612,positive
application error download failed,-0.7184,negative
download the unknown error book reinstall,-0.4019,negative
ipusnas failed to borrow notebooks unknown error zip file,-0.7184,negative
ipusnas error empty library menu search popular menu heap menu library character put it down,-0.1779,negative
ok borrow a book,0.296,positive
apk download error book,-0.4019,negative
good level practical sometimes annoying,0.0516,positive
hard to log in waiting for a good net,0.3612,positive
steady are the books available at the level of stock books expert books help the thesis process,0.4019,positive
Disappointed after reading the book,-0.4767,negative
