at,userName,score,content
2021-02-04 06:28:47,Rezky Cahya,4,"Apk nya bagus, tapi jauh lebih bagus lg bila ada apk yg untuk pc yg lewat browser kek wa web jadi gk ribet download² lg"
2021-02-04 04:29:24,filter black,5,Mantap mantap
2021-02-04 04:26:23,Tazkia Thahira,5,Aplikasi ini sangat bermanfaat. Banyak sekali buku - buku bagus yang sulit di dapat. Menambah pengetahuan
2021-02-04 03:42:28,mohammad amir sidiq,5,Aplikasinya bagus. Sejauh ini belum ada kendala apa2. Kita bisa mencari referensi tanpa harus keluar rumah
2021-02-04 02:55:04,Sri Handayani,5,"Aplikasi nya bagus ☺️ koleksi bukunya seru"".cocok buat santai santai untuk menambah wawasan"
2021-02-03 18:09:51,Nurul Baiti,5,"Aplikasi nya sangat bermanfaat dan sangat membantu, saran saya agar masa peminjaman buku diperpanjang dan maintance nya yg tidak lama , sejauh ini bagus sekali!!"
2021-02-03 15:35:33,Ananda Meisa,1,"Kenapa gak bisa login, tolong segera diperbaiki, semangat. Salam literasi."
2021-02-03 11:31:42,Ainun Jariyah,1,Dasar aplikasi jelek
2021-02-03 11:10:19,Pengguna Google,2,Makin nggak jelas ini aplikasi. Sekarang malah nggak bisa di buka. Padahal sudah berlangganan 2 tahun yang Lalu. Maaf bintangnya saya kurangi
2021-02-03 03:26:10,yulia,5,Terima kasih atas layanannya. Semoga selalu lebih baik.
2021-02-02 23:01:35,Uzen Fauzi,5,Mntap
2021-02-02 15:31:54,signorina 404,4,🤗 selama pandemi asik juga baca baca dari koleksian ipusnas
2021-02-02 01:56:17,Yusuf Chabibie80,1,Koneksi gak ada
2021-02-01 20:48:50,Yahdiyani,5,Edit 2: Terimakasih untuk pelayanannya :) Mohon ditingkatkan lagi fiturnya seperti tambahan wishlist agar buku yang selanjutnya ingin dibaca dapat didaftarkan dengan rapi. Supaya selesai membaca satu buku atau beberapa buku pembaca ybs tidak ragu buku selanjutnya yg akan dibaca :) Mohon ditambahkan lagi jumlah buku yang bisa diakses. Terimakasih :)
2021-02-01 14:27:16,Nurul,5,"Bagus banget aplikasinya membantu sy mengembangkan hobi membaca dan membantu saya dalam mencari artikel untuk pelajaran, tapi tolong diperbaiki dong aplikasinya kadang suka gak bisa dibuka"
2021-02-01 09:13:40,Lighten Account,5,Ikhtiar yang sangat baik bagi kemajuan masyarakat yang beradab. Semoga hadirnya aplikasi literasi nasional ini juga didukung munculnya manusia teladan agar dapat menyalakan kesadaran literasi untuk negeri ini.
2021-02-01 04:49:05,Safira Safi,5,Tengkyu ipusnas
2021-02-01 03:30:24,Sri Lulut Widiana,4,"Ini gimana sihh eror mau pinjem bukuuu, perbaiki cepet donggg"
2021-02-01 03:16:50,Akhmad Khoirul Huda,1,"Kenapa server maintenance trus,tolong segera di perbaiki"
2021-02-01 02:58:59,Iyan Irawan,5,"Sangat bermanfaat, walaupun terkadang terjadi gangguan dalam meminjam buku"
2021-02-01 02:36:37,Muhammad Syafiq,5,"Bagus, ditunggu update versi selanjutnya"
2021-02-01 01:13:05,Fatah nur hudayana Hudayana,1,"Apk server maintenance terus,,gk bisa pinjam."
2021-02-01 00:43:59,Shinta L.,1,Ga bisa dipakai
2021-01-31 23:08:38,Mar'atul Uly Nur Fauziah,3,"Halo pihak ipusnas! Tolong servernya segera selesai diperbaiki ya;). Kemarin saya mau minjam buku yang antriannya panjang, udah dapat giliran pinjam tapi tidak bisa karena server nya lagi maintenance. Cepet diperbaiki ya, solanya saya udah nunggu berbulan bulan untuk 1 buku. Terimakasih 🙏"
2021-01-31 22:49:07,Ilmi Aliya Firdausy,1,Kenapa ya akhir² ini ga bisa buat peminjaman padahal sudah berkali2 saya coba tetap gagal
2021-01-31 21:48:48,Nelud Naliyah,4,Ada dg apk.nya. 2 hari ini tidak normal. Sampai reinstall berulangkali. Setiap klik bukunya ada notif server tidaj beres dll. Mohon diperbaiki segera. Karena apk nya sangat bermanfaar
2021-01-31 20:18:08,Muh. Syabirin,5,"Knpa nggak bisa di pinjam bukunya min? Katanya server lagi maintenance, emang iya?"
2021-01-31 15:41:24,Una 31,1,Kok gaje ya Lola banget
2021-01-31 14:56:24,Nur Lail,1,"Gagal setiap di download, mohon diperbaiki"
2021-01-31 14:50:21,Abby Qu,3,"Lagi error ya servernya kok susah mo minjem buku, padahal data buat buka aplikasi lain nggak ada masalah"
2021-01-31 14:43:13,septian kharisma,3,Mohon untuk maksimalkan digitilisasi buku-buku sejarah dan perbanyak lagi koleksi buku digitalnya...🙏
2021-01-31 14:12:03,Tamrin Go,1,Aplikasi perpustakaan terjelek yang pernah ada
2021-01-31 13:53:21,Pemdes Sikanco,3,Ga bisa minjem buku masa
2021-01-31 13:51:54,Nida Mustafidah,4,"Aplikasinya bagus, tp klo log in lagi susahhhhhh"
2021-01-31 13:40:41,Dede Harun Arohim,5,Tolong developer perbaiki lagi untuk bug karna untuk serch buku masih mengalami masalah yaitu jenis kategori buku yg tidak ada karna masalah bug terimakasih....
2021-01-31 13:06:25,Adhika Bhadra Maharddhika,3,Bagus tapi loadingnya lama
2021-01-31 12:23:09,Ridho Satria,5,"Aplikasi nya bagus cuma masih ada kekurangan yaitu aplikasinya sangat lag, saya tidak bisa melihat beranda padahal wifi saya saat itu berfungsi dgn baik atau tidak lag , tolong diperbaiki secepatnya supaya kami semua bisa membaca tanpa kendala"
2021-01-31 11:12:38,Sergio Tacchini,1,Aplikasi nge Bug
2021-01-31 10:00:22,Shaffira Nuur Fauziah,5,"Hallo, Ipusnas. Saya tidak bisa meminjam buku, tertulis “Server sedang maintenance..” . Mohon diperbaiki, Min. Terima kasih. 😇"
2021-01-31 09:19:06,Hardianti Mawardhika,5,👍👍
2021-01-31 09:11:52,Rizki Mubarok,2,Kenapa kaga bisa di buka n minjem yah
2021-01-31 08:28:50,Ristu Yuniati,1,Baru mau gabung & minjem eh kok gak bisa.Sedikit kecewa.
2021-01-31 07:21:40,Motia Rusti,5,Kemapa server sedang maintenance terus ya dari kemarin? Aku jd gak bisa pimjam buku. Padahal perlu
2021-01-31 06:41:09,Have a nice day,3,"Koleksi saya gak bisa perpanjang dan koleksi terbaru saya juga tidak ada tampilan nya. Mohon segera diperbaiki ""proses maintenance"", beberapa user terganggu. Semoga bisa kembali lagi secepatnya. 😑😊"
2021-01-31 05:33:25,DIDI MULYADI NATURAL,1,Lelet
2021-01-31 05:30:53,Rizki Amalia,5,"Sudah bagus, tapi akhir-akhir ini tiap mau pinjem pasti maintenance, itu kenapa ya?"
2021-01-31 05:10:10,Idha Rakhma,3,"Dari peratama kali download sampe sekarang, belum bisa baca bukunya satupun. Notifnya krn server meintenance"
2021-01-31 04:19:57,Pj Fajriyah,5,"Lagi kenapa sih?? Akhir"" ini sya g bisa minjam dan baca buku🤔🙄. Padahal dah bagus bngt apk'a😭😭 tolong jelaskann knp Min🙄"
2021-01-31 03:52:06,Mohammad Iqbal Al Faruq,5,Aplikasi yang sangat bermanfaat
2021-01-31 03:37:29,Sinta Rahayu,5,Kok dari kemarin ga bisa pinjam buku?
2021-01-31 03:14:49,Rezki Ekonomi Pembangunan 2017,1,Server sibuk terus
2021-01-31 00:14:42,Aisyah Dwi Septiyani,4,"Aplikasinya sudah cukup bagus, saya suka banget. Novel-novel lama yang pengin saya baca ulang juga tersedia di sini. Cuma saya suka kesel kalau mau pinjam buku, sering muncul kalimat 'server dalam proses maintenance' jadi harus nunggu lagi deh. mohon perbaikannya pihak Ipusnas. Salam literasi!!"
2021-01-30 23:46:04,Mohamad Sodri,2,Kenapa saya tidak bisa menggunakan aplikasi ini? Server selalu bermasalah
2021-01-30 22:12:55,astri nihaya,2,"Sering error, gk bisa pinjam padahal lagi butuh. Koleksi metode penelitiannya tolong ditambah. Antri berbulan-bulan masih aja belum dapat pinjam"
2021-01-30 15:49:39,Ayunda Puteri Rizanti,4,"Saya suka dengan aplikasi ini, menyediakan banyak buku dengan berbagai genre, namun beberapa hari ini tidak bisa meminjam buku, selalu ada tulisan sdg dalam maintenance, bagaimana ya? 🙏"
2021-01-30 15:12:43,Muh Sateria,2,"Kenapa sekarang ipusnas tdk bisa pinjam buku,bikin kecewa saja, padahal dulu baik baik aja. Mohon server di perbaiki dong🙏"
2021-01-30 14:46:48,A Syafrida,2,Saya sudah download tapi kenapa tidak bisa dibuka? Ada tulisan izin untuk mengubah setelan sistem. Maksudnya apa ya? Apakah ipusnas mmg sedang gangguan?
2021-01-30 12:28:15,Nabila Hera Azahra,1,Kok mau minjem buku susah nya sekarang?
2021-01-30 11:28:44,Rayni Wulandari,2,"Min lagi gak bisa pinjam ya, bilangnya server sedang proses maintenance .. brp lama maintenancenya min?"
2021-01-30 09:47:32,Nela Dwi,5,Aplikasinya bagus banget buat yang mager tapi suka baca buku Tapi kok sekarang lagi gangguan ya gabisa minjem buku
2021-01-30 07:58:32,Manisha Prameshuri,2,Kenapa gaada gambarnya ya
2021-01-29 13:28:18,Dedy Rahman,2,Loading lewat FB kok lama banget smpe gak bisa kebuka
2021-01-29 12:53:14,Riyanto Gunadi,5,Apa ini perpustakaan.............. .........................ya
2021-01-29 08:56:46,Khoirul Umam,5,"Aplikasi yang sangat bermanfaat. Namun ada sedikit saran, sebaiknya masa peminjaman buku diperpanjang dan ditambah lagi untuk koleksi buku-bukunya. Dan satu hal yang ingin saya tanyakan, kenapa aplikasi ini tidak mengizinkan penangkapan gambar? Jadi nggak bisa buat story buku yang dibaca di WA. Sangat disayangkan."
2021-01-29 05:06:18,MUHAMMAD RIZKI,5,"Aplikasi nya bagus banget, cocok banget sama yang hobi baca, tapi saya mohon koleksi bukunya ditambah lagi terutama untuk buku² jaman sekarang dan penulis masa kini seperti buku²nya fiersa Besari, jek(takdir Alisjahbana Ridwan), boy Candra dll, saya sangat memohon ya min"
2021-01-29 01:45:10,Sultan Chanel,5,Sangat bermanfaat..
2021-01-28 13:39:12,Siti Nurfauziana,4,"Aplikasinya bagus. Btw, tolong banyakin buku-buku yang dari luar negeri juga dong min"
2021-01-28 07:59:22,Diah Mardiana,5,Keren
2021-01-28 01:25:42,iros roseva,3,"Setelah diupdate malah makin ga nyaman buat baca, pendanda halaman gabisa digunakan, jadi kalo mau baca harus scroll manual buat nyari halaman terakhir yg dibaca"
2021-01-27 18:52:56,Putra Agustiansyah,5,"Aplikasinya sudah sangat bagus, tetapi saya menemukan bug ketika sedang membaca sebuah buku. Bug-nya adalah keluar ke halaman utama Ipusnas dengan sendirinya padahal saya tidak menekan tombol apapun (hanya scroll buku saja). Bug ini terjadi ketika saya sedang membaca, lalu smartphone saya biarkan sleep dan ketika ingin dinyalakan, dengan sendirinya keluar ke halaman utama Ipusnas. Versi OS Android yang saya gunakan yaitu 8.1.0. Semoga kedepannya tim developer bisa memperbaiki bug ini. Thanks :)"
2021-01-26 19:23:33,A'imatun NT,1,Aplikasi gak jelas
2021-01-26 14:33:24,human xixi,2,Kenapa saat saya mau membaca malah keluar-keluar sendiri. Saya jadi tidak bisa membaca buku yang saya pinjam :(
2021-01-26 09:16:47,Muhammad Ridwan,4,"Koleksinya banyak dan bagus bagus. Saya paham ini perpustakaan, jadi stoknya terbatas. Kelebihan baca disini bisa baca dengan offline, tidak harus online. Namun belakangan ini iPusnas saya kok eror ya. Itu yang eror handphone saya atau aplikasinya? Mohon di perbaiki"
2021-01-26 07:21:04,nadyah r a,5,"aplikasi yang benar-benar bermanfaat👍 saya cuma mau tanya inu, di beberapa buku itu bacanya seperti baca pdf (tidak bisa diatur font dll) tetapi ada beberapa buku lain yang bisa diatur background, font,dan kecerahannya juga. itu memang bukunya yang berbeda-beda atau app saya yang error ya? terima kasih🙏"
2021-01-26 06:15:29,Bambang Sudarto,3,Ok
2021-01-26 03:10:34,mandor Sapi,5,Mantap
2021-01-25 12:26:43,Ghaliba Najwa,2,Ipusnas macet lagi
2021-01-25 07:28:18,Doni Rahman,1,Banyak gak ada bukunya
2021-01-25 06:57:51,Rico Handika,5,Bagus
2021-01-25 06:51:00,adeeva,4,"lumayan banyak, cocok banget buat yang mau perbanyak bacaan sekaligus berhemat. tapi masih sering bug kaya beberapa detail buku yang ga bisa kebuka. mau kasih saran, kalo bisa pas buku yang pembaca antri udah tersedia, dikasih notifikasi di luar aplikasinya, soalnya sekarang kita tau bukunya sudah tersedia / belum harus buka aplikasi terus☺️"
2021-01-25 00:51:17,Asep Berry Antoni,5,Sangat bermanfaat buat saya
2021-01-24 15:20:56,ndhut,2,"hallo, udah lama gak buka ipusnas kmrn nyoba download lagi dan mau masuk akun tp gak bisa"", itu kenapa ya? kirim email jg gak di bls"
2021-01-24 14:03:16,Annisa Gita Savitri,5,Membantu mahasiswa sekali
2021-01-24 11:32:00,Achopmwn 1990,1,"Selama ada aplikasi ipusnus saya sangat berterimakasih terhadap yang membuat aplikasi ini tapi saya tidak mengerti kenapa aplikasi ini sudah sangat sulit di fungsikan, setiap kali saya melakukan peminjaman, selalu gagal dan diminta perivikasi email padahal saya suda melakukannya tapi permintaannya masi sama, bahkan email saya tidak di balas oleh ipusnu, saya mohon bantuannya agar saya bisa mendapatkan solusinnya🙏🙏"
2021-01-23 15:27:44,mochamad chudhoifah,5,Semangat membaca buku membuat wawasan menjadi luas.
2021-01-23 12:11:46,Amelia Alpiani,4,"Sebenarnya aplikasi ini bagus banget. Tapi yang bikin aku kesel tuh kenapa suka eror tiba tiba, yang paling sering aku alamin tuh waktu pinjem bukunya bisa tapi download bukunya kok gabisa, padahal jaringan dihpku bagus dan gaada gangguan."
2021-01-23 07:12:30,Wasiul Maghfiroh,5,"Aplikasi ini jujur sangat bagus, koleksi buku juga lumayan lengkap. Tapi agak sedih kebapa sekarang ngga bisa di screenshoot bukunya padahal dulu kan bisa, andai bisa di screenshoot kan jadi bisa lebih cepet ngembaliinnya. Bisa gantian sama yang lain"
2021-01-23 06:11:17,Rangga Sunda Empire,5,Tolong di perbanyak bukunya trimakasih.
2021-01-23 02:19:04,Yuli Mahmudah,2,Kenapa sih padahal udah dipinjem tapi tiba-tiba ilang bukunya . Akunnya keluar sendiri. Sekarang malah nga bisa buka aplikasi nya
2021-01-23 02:08:28,sri hayati,1,"Kenapa ini, kok gak bisa dibuka, katanya tidak dapat mengambil data dari server dan tidak ada DLS?"
2021-01-23 01:55:42,Agung Hendardi,4,"Halooo sebelumnya aplikasinya bisa dibuka, kenapa sekarang gabisa ya? Mohon dibls"
2021-01-23 01:30:44,Adinda Putri,1,Bagaimana ini kok gabisa masuk:(
2021-01-23 00:31:07,Elviana Feby,3,"Ini kenapa ya, kok ipusnas aplikasinya pengguna saya ndak bisa dibuka, malah tampilan lama, terus pinjaman buku saya ilang juga. Udh restart hp, uninstall ulang tapi tetep aja"
2021-01-22 23:32:11,Moh. Hilal,1,Kok gak bisa di buka ya...? Padahal kemaren2 bisa.
2021-01-22 19:39:55,Ayu Zuhrian,2,Kak kok tidak bisa di buka ya kemarin bisa dengan emailnya dan pasword yang sama sekarang tidak bisa
2021-01-22 12:19:48,Nur Ramadhan,5,"Ni aplikasi emang ajipp. Apalagi bagi para pecinta buku, tapi ini sekedar saran tolong ditambah lagi lah buku-bukunya, tapi terlepas dari itu semua aplikasi ini recomended bangetlah 👍👍👍👍👍"
2021-01-22 07:18:05,Musdalifah Imran,1,Anda belum melakukan vertifikasi email maksudnya gimana?
2021-01-22 03:10:48,Hardian Ahmadi,5,Terobosan yg baik utk meningkatkan literasi informasi masyarakat.
2021-01-22 00:43:13,Tesya Aprilia,4,"Mohon fitur notifnya ditingkatkan lagi. Kalo bisa, bukunya dibanyakin lagi. Lelahku ngantri😂. Terima kasih"
2021-01-22 00:22:21,Nova Laban,1,Kok bisa sih tiba2 terunsinstalll ini aplikasi Sudah coba untuk masuk lagi tapi kok gk bisaaaaa sihh Email tdk valid katanya Dimana nya tidakk valid Tolong aku !
2021-01-21 22:20:44,Alifia Dina,4,"Aplikasi nya sudah bagus, namun tolong untuk menyediakan preview atau cuplikan daftar isi agar tidak salah dalam mendownload buku. Karena tidak bisa melihat preview buku, terkadang buku yang didownload tidak seperti yang diharapkan. Itu juga berimbas pada berkurang nya batas maximal peminjaman buku harian."
2021-01-21 17:03:50,Kafanial Khafi,5,"Terjadi error loop pada ""perpustakaan hadir ... "". melakukan sign out langsung, dan meminta izin yang dilakukan berulang ulang. Akan saya ubah, ketika error diselesaikan."
2021-01-21 14:00:07,HRS NS,1,"Dikit-dikit error, dikit-dikit ngebug. Sampe capek hadepin, lebih sulit daripada hadepin member vtube."
2021-01-21 13:39:34,maulana auliya firdaus,1,Gk bisa log in
2021-01-21 11:59:49,Dinda Permata Octavia,4,"Sejauh ini saya sangat menikmati apk ini. Dengan adanya apk ini saya bisa membaca kapan saja dan di mana saja secara legal, terlebih lagi ini gratis😄. Jadi, dari pada beli buku bajakan, lebih baik pinjam di apk ini. Saran saya untuk apk ini, harusnya disediakan fitur favorit untuk menandai buku yang akan kita baca selanjutnya. Soalnya kalau langsung dipinjam saat belum akan dibaca, masa laku peminjaman akan segera habis sebelum selesai membacanya. Terima kasih."
2021-01-21 02:59:53,Nenden,5,Bagus bangetttttt😍❤
2021-01-20 17:57:11,evano melody,4,"Koleksi buku lengkap bgt,,, tambah terus jumlah koleksi bukunya...iPusnas keren👍"
2021-01-20 15:54:38,Jamesbond007 Jamesbond007,5,Berguna Sekali Sangat cukup membantu mencari buku salut untuk aplikasi ipusnas 🙏 terima kasih banyak
2021-01-20 11:36:24,Edelweis Van,5,"Hallo admin, tolong tambahkan copy-an buku-buku yang banyak peminatnya dong, aku sudah ngantri dua bulan lebih masih belum dapat. Terimakasih"
2021-01-20 11:34:04,Imam Mutaqin,5,"Hallo pengelola ipusnas, tolong tambahkan buku-buku yang banyak peminatnya dong. Terimakasih"
2021-01-20 08:29:37,Bandargila 88,5,"Mantap, jaya jokowi dan ahok"
2021-01-20 05:31:25,Ahmad Halim,5,Terimakasih...top banget..
2021-01-20 01:32:12,Yeni Maryani,5,Aplikasinya jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong aplikasinya bagus banget kalian wajid download aku pebi aku hobi membaca terimakasih kepada yang sudah membuat ipunas ini aku jadi bisa baca lebih banyak buku dalam satu aplikasi pokoknya bagus banget deh aplikasinya
2021-01-19 12:55:23,Achmad Faizin,5,"Aplikasi ini Sangat Bagus dari berbagai sisi, saya suka sekali karena sudah ada fitur untuk mengatur cahaya ponsel yang menambah kenyamanan saat membaca diberbagai kondisi cahaya, tapi sayang tidak semua buku dapat diatur cahayanya."
2021-01-19 10:44:28,Siska Ketaren,2,Aku udh uninstall tapi kenapa gak bisa login atau register akun
2021-01-19 08:07:20,Lathifuddin Siddiq,5,"Bisa minjam buku gratis,"
2021-01-18 23:14:27,Asep Abdul karim,1,Udah masukin email dan alamat facebook malah ng bug .. ga suka .. merugikan
2021-01-18 21:42:42,E R,4,"Konten dan kualitas buku sudah bagus, tinggal dikembangkan lagi. Koreksi dari saya, apa hanya punya saya saja kalau dirotasi ke horizontal harus kembali ke page home. Hanya itu masalahnya. Tolong lahh😀😀"
2021-01-18 18:18:08,aventina saroengoe,2,"Sebelum nya utk pak Jokowi dan siapapun yg buat aplikasi ini saya benar2 berterima kasih karna aplikasi ini bentuk kepedulian pemerintah terhadap perkembangan pengetahuan masyarakat, tapi di sini saya sebagai pengguna baru merasa sangat sulit menggunakan aplikasi dan sistem antrian dalam peminjaman buku juga mempersulit pembaca. Apalagi peminjam yg lain belum tentu mengembalikan buku yg di pinjam. Jadi aplikasi ini udah bagus tapi yg kurang adalah pengawasan dan penggunaan aplikasi yg belum maks"
2021-01-18 16:59:30,Tyan teguhISBDS,5,Ok
2021-01-18 07:44:48,Nadia Saumi,2,"ini apaan sih aplikasinya, padahal udah masuk, terus udah minjam buku. tiba tiba akunnya kelur sendiri mintak registrasi ulang, wktu udah di daftar ulang malah buku yg udah di pinjam jadi hilang gak ke bakup, pdahal akunnya sama. mana tu buku lagi penting pentingnya, aaaaa kesel aku😠😠😭😭"
2021-01-18 00:24:34,Sukri Arsyad Gajel,5,Tingkatkan Literasi Baca
2021-01-17 17:16:26,ayu purnamasari,5,Mantap
2021-01-17 14:13:35,Ayu Zuly,2,Sementara saya kasih bintang dua.. mau login aja susahnya minta ampun😢😢😢
2021-01-17 06:54:57,Mama Nicholas,1,"Eror, tidak bisa log in"
2021-01-17 06:12:31,Puteri Midah C,5,"Sangat membantu mahasiwa tingkat akhir di masa pandemi dimana perpustakaan tutup semua, walaupun tidak semua buku ada. Harapannya semoga ditambah lagi koleksi bukunya dan ditambahkan fitur pencarian kata di buku supaya mempermudah pencarian topik yang sesuai didalam buku. Terimakasih"
2021-01-16 15:36:16,Edy Qodlori,1,Error. Di buka nutup otomatis
2021-01-16 14:44:13,Golden Sunflower,5,"Ipusnas mantap banget, makasih banyak ipusnas karena udah nyediain buku yang aku cari...."
2021-01-16 13:59:22,Butik Nazla,1,Email verification trus close. Bad aplikasi
2021-01-16 07:51:52,Jessica Lowensia,5,"Halo bagus aplikasi nya tapi tolong ini saya antri2 buku ga dapet2 :'( sedih semoga kedepannya lebih mudah dapat antrian nya dah nunggu lama lho, baca blm selesai, buku nya otomatis dibalikin terus harus antri lagi huhu... semoga juga apk ini terus melakukan update buku2 baru sehingga buku nya jadi banyak dan beragam... oh ya kalo update buku kapan dilakukan ya biasanya?"
2021-01-16 05:03:10,Fathoni Ibn Masykur,4,"Bagus. Tapi kenapa tidak bisa bookmark halaman ya? Kalau habis nutup aplikasi terus mau lanjutin baca harus ngurut dari awal, gak bisa langsung ke halaman yang terakhir dibaca"
2021-01-16 03:26:43,bagas jayantara,5,"sudah sangat bagus dan sangat membantu, saran saya untuk buku penelitian di perbanyak lagi soalnya sering di pinjam, jadi sulit untuk membacanya."
2021-01-15 10:58:44,Siti Mundalifah,1,kok aplikasi tidak bisa dibuka ya? setiap kali mau masuk tiba2 keluar otomatis?
2021-01-15 03:13:22,Ernita,1,"Judulnya apa, covernya apa, aneh. Kalo mau nyari buku yang lewat di halaman utama susah, malah gak ada padahal judul udah ditulis jelas. Udah di download berkali kali tapi kalo mau baca, tulisannya tetep harus download. Apk sering tiba-tiba berhenti. Hadehhh"
2021-01-15 01:31:02,Hola Amigos!,5,"Saya cukup senang dengan aplikasi iPusnas, karena aplikasi ini cukup membantu saya dalam mengerjakan tugas-tugas kuliah sebagai penambah referensi, apalagi disaat kondisi pandemi seperti ini yang tidak memungkinkan kita untuk pergi ke perpustakaan, saran saya terhadap aplikasi ini yaitu ditambah lagi koleksi bukunya karena ada beberapa buku/novel terkenal yang tidak dapat saya temukan dalam aplikasi ini, dan tolong tambahkan stok buku yang selalu menjadi antrian, terimakasih."
2021-01-15 01:16:15,Awal Wahyu Jafari,5,"Assalamualaikum Selamat beraktifitas, Sukses selalu ya"
2021-01-14 01:21:48,Jeane Talane,4,Bagus
2021-01-13 17:17:36,Ahmad Juned,5,Bagus
2021-01-13 09:09:27,KhAn Subhi,5,Oke min. Kami tunggu fiturnya.
2021-01-13 06:38:56,Bianca Liza,5,"Suka Banget🤧❤️ Tapi Kalau Boleh Request Banyakin Buku² Terbaru gitu.. Yang Dari Gramedia, Novel, Komik, Yang baru² Gitu🤧❤️❤️ Please!! Makasii^^"
2021-01-13 02:14:31,Deatun,4,Kenapa mau login ga bisa bisa padahal udh bener email sama passwordnya
2021-01-13 00:57:45,Hannan Anis Matta,2,Ngapa macet ya padahal udah baca buku tetep macet gak mau Donload tolong di perbaiki kembali -BUILD OUR MACHINE
2021-01-13 00:35:38,Mansyah Muhammad Ibra,2,"Aku suka banget aplikasi ini, berguna sekali untuk orang-orang yang tidak bisa keperpustakaan. Tetapi, sayang sekali akhir-akhir ini suka error keluar sendiri. Baru ingin baca tiba-tiba keluar. Padahal lagi butuh sekali dengan bukunya. Kecewa jadinya deh:("
2021-01-12 23:03:41,Omsah,3,Kurang lengkap bukunya. Nyari buku apa keluar apa. Tolong di perbanyak buku ekonomi
2021-01-12 20:42:39,Anna Ukat,5,Bagus aplikasi ini. Banyak kategori buku yg mau dibaca sangat recomended ♥️
2021-01-12 17:12:13,Afkar Aristo,4,"Min, tolong perbanyak koleksinya. Lalu tambahkan fitur fullscreen, atau setidaknya jangan sampai notifikasi apps masuk supaya bisa fokus baca. Overall bagus."
2021-01-12 10:16:58,MUHAMMAD Jimi,5,Tambahkan dong buku buku terjemahan best seller. Jangan buku dongeng aja yang banyak. Buku ilmu pengetahuan juga harus banyak. Oh satu lagi banyakin dong ebook tentang konspirasi.
2021-01-12 09:42:06,X Tube,5,Thanks... Aplikasinya sangat baik
2021-01-12 01:54:12,Hendrawan Bayu Setiaji,2,Kenapa dengan servernya.. tak dak bisa masuk.. aku tidak bisa buka ipusnas..
2021-01-12 01:20:09,Wildan Habibi,3,Kenapa saya sudah login tapi waktu pinjam malah gak bisa gimana ya Tolong diperbaiki 🙏
2021-01-11 17:05:28,Alfatih Bahri,5,Sangat bermanfaat untuk rakyat indonesia
2021-01-11 11:47:47,Putri Cahyaningrum,5,"Alhamdulillah, membantu sekali"
2021-01-11 07:37:37,Aiyana Brizatte,2,Nggak bisa login.. Dari fb bahkan email..
2021-01-11 00:20:37,Kirei Mysha,2,Kak maaf kok tidak bisa login ya pakai email yg pernah saya pakai apakah harus email baru? Tolong di jelaskan satu per satu biar bs login
2021-01-10 14:04:37,Nanda Kusuma Wardhani,3,Kenapa sering terhenti sendiri si😭😭😭😭 akutu butuhh😭😭
2021-01-10 13:40:00,Neisa Hadhnah,5,Terimakasih Sangat membantu sekali
2021-01-10 11:57:13,Aqilatama Aryaputri,5,baguss bukunya lumayan lengkap. tapi kok di hp ku nge crash terus yaa. udah coba re install tp ttp crash tiap mau buka bukunya
2021-01-10 07:08:00,Fidiyah Winata,3,"Maaf, kenapa belum ada email terkirim diakun email saya. Padahal saya mau banget pinjam bukunya"
2021-01-10 05:46:08,Neng Ridaul Jannah,2,Kenapa eror terus yaa akhir-akhir ini
2021-01-10 05:37:21,Achmad Maulana,4,Tolong di perbaiki lagi ya Ini saya sinyal full tapi gambar buku nya ga keliatan dan unknown error' pas mau download bukunya
2021-01-10 05:34:49,sofiyatun khasanah,2,"Saya sangat suka aplikasi ini, tpi kenapa akhir² ini kok sering gagal mnmbahkan buku ke koleksi 😭😭😭 pdhl koneksi lancar.."
2021-01-10 05:34:47,Bagus Wilar,3,Ketika pinjam buku selalu error
2021-01-10 05:17:23,Bgrtyon,1,Kenapa ya min? Sy mau masuk pertama kali gk bisa?
2021-01-10 05:03:58,Fajar Purnama,3,Bug
2021-01-10 04:57:06,Yuli Mulanti,5,"Min gk bisa dipake lagi, minta tolong perbaiki🙏tidak ada dls gttu Awalnya pinjem buku loading terus uninstall, pasang lgi pad maduk gk bisa"
2021-01-10 04:43:56,Ikhwan Irfan,2,"Sering lemot padahap koneksi lancar, sering error, sering force close. Yaaah..... Tapi wajarlah. Pemerintah kalo urusan kyk gini emang gaptek sih."
2021-01-10 04:16:24,Amelia Prames,1,Gimana sih ipusnas masa aplikasi nya gak bisa dibuka payah nih padahal punya pemerintah tolong dong diatasin
2021-01-10 03:55:54,M. Yusup,5,Aplikasi sangat bagus dan membantu meningkatkan literasi bangsa
